FIPS,State,County,Poverty_Percent,Poverty_Percent_Age0_to_Age17,Poverty_Median_Household_Income,Edu_Percent_Less_HS,Edu_Percent_HS,Edu_Percent_AD,Edu_Percent_BD_or_Higher,Pop,Pop_Change,Pop_Birth,Pop_Death,Pop_Int_Mig_Net,Pop_Dom_Mig_Net,City_Code,Latitude,Longitude,"('Mobility_Retail_and_Recreation', 0)","('Mobility_Retail_and_Recreation', 1)","('Mobility_Retail_and_Recreation', 2)","('Mobility_Retail_and_Recreation', 3)","('Mobility_Grocery_and_Pharmacy', 0)","('Mobility_Grocery_and_Pharmacy', 1)","('Mobility_Grocery_and_Pharmacy', 2)","('Mobility_Grocery_and_Pharmacy', 3)","('Mobility_Parks', 0)","('Mobility_Parks', 1)","('Mobility_Parks', 2)","('Mobility_Parks', 3)","('Mobility_Transit_Stations', 0)","('Mobility_Transit_Stations', 1)","('Mobility_Transit_Stations', 2)","('Mobility_Transit_Stations', 3)","('Mobility_Workplaces', 0)","('Mobility_Workplaces', 1)","('Mobility_Workplaces', 2)","('Mobility_Workplaces', 3)","('Mobility_Residential', 0)","('Mobility_Residential', 1)","('Mobility_Residential', 2)","('Mobility_Residential', 3)","('COVID_Confirm', 0)","('COVID_Confirm', 1)","('COVID_Confirm', 2)","('COVID_Confirm', 3)","('COVID_Death', 0)","('COVID_Death', 1)","('COVID_Death', 2)","('COVID_Death', 3)","('COVID_newConfirm', 0)","('COVID_newConfirm', 1)","('COVID_newConfirm', 2)","('COVID_newConfirm', 3)",StateName,lat,lon,POP_LATITUDE,POP_LONGITUDE,CensusRegionName,CensusDivisionName,Rural-UrbanContinuumCode2013,PopulationEstimate2018,PopTotalMale2017,PopTotalFemale2017,FracMale2017,PopulationEstimate65+2017,PopulationDensityperSqMile2010,CensusPopulation2010,MedianAge2010,#EligibleforMedicare2018,"MedicareEnrollment,AgedTot2017",3-YrDiabetes2015-17,DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,#FTEHospitalTotal2017,TotalM.D.'s TotNon-FedandFed2017,#HospParticipatinginNetwork2017,#Hospitals,#ICU_beds,dem_to_rep_ratio,PopMale<52010,PopFmle<52010,PopMale5-92010,PopFmle5-92010,PopMale10-142010,PopFmle10-142010,PopMale15-192010,PopFmle15-192010,PopMale20-242010,PopFmle20-242010,PopMale25-292010,PopFmle25-292010,PopMale30-342010,PopFmle30-342010,PopMale35-442010,PopFmle35-442010,PopMale45-542010,PopFmle45-542010,PopMale55-592010,PopFmle55-592010,PopMale60-642010,PopFmle60-642010,PopMale65-742010,PopFmle65-742010,PopMale75-842010,PopFmle75-842010,PopMale>842010,PopFmle>842010,3-YrMortalityAge<1Year2015-17,3-YrMortalityAge1-4Years2015-17,3-YrMortalityAge5-14Years2015-17,3-YrMortalityAge15-24Years2015-17,3-YrMortalityAge25-34Years2015-17,3-YrMortalityAge35-44Years2015-17,3-YrMortalityAge45-54Years2015-17,3-YrMortalityAge55-64Years2015-17,3-YrMortalityAge65-74Years2015-17,3-YrMortalityAge75-84Years2015-17,3-YrMortalityAge85+Years2015-17,mortality2015-17Estimated,SVIPercentile,HPSAShortage,HPSAServedPop,HPSAUnderservedPop,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines
1001,Alabama,Autauga County,13.8,19.3,59338,11.3,32.6,28.4,27.7,55601,158.0,655.0,532.0,-2.0,37.0,3,32.53952745,-86.64408227,-35.0,-31.0,-29.0,-30.0,-2.0,-3.0,8.0,12.0,,,,,,,,,-42.0,-43.0,-43.0,-49.0,18.0,19.0,17.0,20.0,12.0,12.0,15.0,17.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,AL,32.54009148,-86.64564861,32.500389,-86.494165,South,East South Central,2.0,55601.0,27007.0,28497.0,0.4865775439607956,8392.0,91.8,54571.0,37.0,11439.0,8046.0,16.0,9.9,204.5,56.1,18.08155718,81.79,324.0,50.0,0.0,1.0,6.0,0.3266563944530046,1866.0,1713.0,2001.0,1990.0,2171.0,2119.0,2213.0,2077.0,1539.0,1541.0,1543.0,1614.0,1594.0,1736.0,3978.0,4265.0,4040.0,4165.0,1524.0,1559.0,1279.0,1498.0,1821.0,2192.0,841.0,1141.0,159.0,392.0,,,,,10.0,20.0,44.0,73.0,112.0,143.0,109.0,,0.4354,,,,-4.0,-19.0,-26.0,-23,-20,-11.0,-23
1003,Alabama,Baldwin County,9.8,13.9,57588,9.7,27.6,31.3,31.3,218022,5403.0,2254.0,2228.0,118.0,5232.0,4,30.72774991,-87.72207058,-47.0,-41.0,-43.0,-36.0,-19.0,-18.0,-19.0,-4.0,-27.0,-37.0,-46.0,-27.0,-24.0,-24.0,-16.0,-15.0,-32.0,-33.0,-35.0,-34.0,9.0,12.0,15.0,12.0,15.0,18.0,19.0,20.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,AL,30.73831437,-87.72627168,30.548923,-87.762381,South,East South Central,3.0,218022.0,103225.0,109403.0,0.4854722802264989,42413.0,114.7,182265.0,41.1,54145.0,41590.0,33.0,8.5,183.2,41.9,17.489032597,54.28,2101.0,536.0,0.0,3.0,51.0,0.2532552172660291,5614.0,5544.0,5832.0,5767.0,6076.0,5850.0,5930.0,5670.0,4793.0,4656.0,5183.0,5064.0,5317.0,5392.0,11620.0,11933.0,13047.0,13874.0,5943.0,6580.0,5728.0,6284.0,8558.0,9245.0,4379.0,5153.0,1176.0,2057.0,13.0,,,23.0,30.0,52.0,125.0,262.0,434.0,546.0,597.0,,0.2162,,,,-14.0,-29.0,-36.0,-33,-30,-21.0,-33
1017,Alabama,Chambers County,18.7,30.7,39917,18.6,38.4,29.7,13.2,33615,-143.0,357.0,461.0,20.0,-58.0,5,32.91360079,-85.39072749,-34.0,-26.0,-33.0,-19.0,1.0,-8.0,-10.0,8.0,,,,,,,-22.0,,-28.0,-45.0,-47.0,-47.0,,15.0,,15.0,27.0,33.0,36.0,42.0,3.0,3.0,4.0,4.0,10.0,6.0,3.0,6.0,AL,32.91633065,-85.39485309999998,32.860439,-85.266474,South,East South Central,6.0,33615.0,16140.0,17573.0,0.4787470708628719,6432.0,57.4,34215.0,41.5,9276.0,6342.0,21.0,17.5,196.7,45.2,19.392927053,84.0,0.0,28.0,0.0,0.0,0.0,0.7374729057758511,981.0,972.0,1081.0,964.0,1134.0,1103.0,1168.0,1130.0,1003.0,922.0,902.0,985.0,922.0,992.0,2189.0,2243.0,2430.0,2619.0,1165.0,1302.0,1077.0,1225.0,1456.0,1652.0,666.0,1161.0,189.0,582.0,,,,,,15.0,30.0,72.0,97.0,105.0,114.0,,0.7382,,,,6.0,-9.0,-16.0,-13,-10,-1.0,-13
1033,Alabama,Colbert County,13.8,21.0,49055,15.6,36.0,29.7,18.7,54762,253.0,610.0,685.0,4.0,324.0,4,34.69847452,-87.80168544,-37.0,-33.0,-30.0,-28.0,-8.0,-2.0,-6.0,-4.0,-48.0,,-44.0,-37.0,-15.0,-5.0,-19.0,-22.0,-36.0,-35.0,-37.0,-43.0,14.0,13.0,14.0,16.0,7.0,7.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,AL,34.70276047,-87.81097599,34.723385,-87.685151,South,East South Central,3.0,54762.0,26149.0,28351.0,0.4797981651376147,10682.0,91.8,54428.0,41.8,14459.0,10493.0,,13.5,261.3,55.2,18.658821060999998,80.43,1174.0,91.0,0.0,2.0,22.0,0.4366415860504001,1625.0,1509.0,1586.0,1517.0,1864.0,1752.0,1790.0,1808.0,1511.0,1499.0,1493.0,1553.0,1449.0,1596.0,3410.0,3514.0,3987.0,4272.0,1805.0,1928.0,1657.0,1840.0,2330.0,2924.0,1257.0,1799.0,395.0,758.0,,,,,,19.0,50.0,101.0,145.0,195.0,181.0,,0.4274,7.27,35220.0,21821.0,-6.0,-21.0,-28.0,-25,-22,-13.0,-25
1055,Alabama,Etowah County,17.5,28.8,44903,15.5,32.9,33.9,17.7,102501,-436.0,1175.0,1473.0,21.0,-154.0,4,34.04567266,-86.04051873,-20.0,-31.0,-29.0,-43.0,6.0,4.0,15.0,12.0,,,,,-28.0,-26.0,-27.0,-37.0,-35.0,-35.0,-36.0,-25.0,12.0,14.0,13.0,9.0,10.0,13.0,19.0,26.0,1.0,1.0,2.0,3.0,2.0,3.0,6.0,7.0,AL,34.052729299999996,-86.0334282,34.013692999999996,-86.02539300000002,South,East South Central,3.0,102501.0,49694.0,53061.0,0.4836163690331371,19092.0,195.2,104430.0,40.2,26732.0,18653.0,31.0,13.5,292.3,48.0,20.147398601,97.44,2053.0,246.0,0.0,2.0,56.0,0.3227521404506537,3169.0,2971.0,3382.0,3158.0,3555.0,3350.0,3768.0,3456.0,3064.0,3006.0,2965.0,3057.0,2895.0,3129.0,6929.0,7027.0,7261.0,7633.0,3509.0,3748.0,3285.0,3605.0,4120.0,4977.0,2152.0,3323.0,572.0,1364.0,11.0,,,16.0,28.0,35.0,112.0,213.0,303.0,346.0,342.0,,0.6564,6.93,24090.0,20792.0,1.0,-14.0,-21.0,-18,-15,-6.0,-18
1069,Alabama,Houston County,16.5,21.9,47993,14.3,31.6,33.0,21.0,104722,349.0,1272.0,1180.0,39.0,224.0,4,31.15197924,-85.29939599,-35.0,-50.0,-58.0,-43.0,5.0,-1.0,-25.0,-13.0,,5.0,2.0,,-25.0,-45.0,-44.0,-31.0,-32.0,-24.0,-36.0,-34.0,13.0,10.0,11.0,14.0,12.0,14.0,15.0,22.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,7.0,AL,31.15254068,-85.31543021,31.20455,-85.391221,South,East South Central,3.0,104722.0,50051.0,54295.0,0.4796638107833554,18143.0,175.1,101547.0,38.5,24638.0,17760.0,21.0,11.8,195.6,43.7,19.249782785,66.9,4345.0,407.0,0.0,2.0,66.0,0.3470450403540745,3479.0,3252.0,3670.0,3381.0,3528.0,3408.0,3400.0,3290.0,2855.0,3131.0,3178.0,3401.0,2972.0,3315.0,6371.0,6849.0,7120.0,7641.0,3089.0,3559.0,2880.0,3103.0,3701.0,4467.0,1979.0,2850.0,518.0,1160.0,14.0,,,13.0,19.0,32.0,74.0,159.0,225.0,283.0,304.0,,0.6838,,,,-13.0,-28.0,-35.0,-32,-29,-20.0,-32
1071,Alabama,Jackson County,19.7,26.8,41929,17.5,40.8,27.5,14.2,51736,-171.0,570.0,679.0,10.0,-69.0,5,34.78144169,-85.99750489,-28.0,-29.0,-33.0,-33.0,-9.0,1.0,1.0,9.0,,,,,,,,,-30.0,-32.0,-31.0,-15.0,11.0,11.0,12.0,,2.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,AL,34.77683646,-85.99775089,34.731984000000004,-85.938698,South,East South Central,6.0,51736.0,25511.0,26398.0,0.4914562022000039,10147.0,49.4,53227.0,41.4,13582.0,10002.0,13.0,13.9,284.1,54.4,19.958920884,94.69,454.0,59.0,0.0,1.0,10.0,0.2203095009596929,1535.0,1440.0,1705.0,1628.0,1827.0,1719.0,1846.0,1702.0,1383.0,1335.0,1390.0,1432.0,1520.0,1561.0,3571.0,3508.0,3962.0,4019.0,1829.0,1956.0,1706.0,1880.0,2550.0,2773.0,1084.0,1545.0,231.0,590.0,,,,,,21.0,51.0,111.0,169.0,199.0,150.0,,0.5726,1.06,19590.0,3182.0,10.0,-5.0,-12.0,-9,-6,3.0,-9
1073,Alabama,Jefferson County,16.1,22.6,55013,10.3,26.8,30.6,32.4,659300,-246.0,8412.0,7306.0,462.0,-1783.0,1,33.55554728,-86.89506300000002,-32.0,-37.0,-36.0,-46.0,5.0,2.0,11.0,14.0,30.0,16.0,26.0,9.0,-31.0,-34.0,-35.0,-35.0,-46.0,-45.0,-45.0,-31.0,17.0,19.0,19.0,12.0,292.0,314.0,351.0,373.0,4.0,4.0,6.0,9.0,22.0,22.0,37.0,22.0,AL,33.56305784,-86.89025434,33.518601000000004,-86.814688,South,East South Central,1.0,659300.0,311830.0,347367.0,0.4730452353393599,101476.0,592.5,658466.0,37.1,136483.0,100601.0,162.0,11.7,190.9,59.6,17.622045263,59.24,24703.0,4626.0,3.0,8.0,471.0,1.1640226166449008,22313.0,21584.0,21211.0,20691.0,21719.0,20654.0,22568.0,22094.0,22298.0,24107.0,23224.0,25309.0,21452.0,23312.0,40290.0,43303.0,44905.0,50328.0,20837.0,23865.0,16769.0,19190.0,19317.0,24956.0,11131.0,18496.0,3779.0,8764.0,91.0,14.0,17.0,110.0,209.0,268.0,514.0,1107.0,1346.0,1538.0,1998.0,495.73009692224053,0.6621,,,,-10.0,-16.0,-23.0,-20,-17,-8.0,-20
1077,Alabama,Lauderdale County,14.0,17.9,48707,12.6,36.0,27.5,23.9,92387,-204.0,866.0,1116.0,28.0,22.0,4,34.90171875,-87.65624729,-33.0,-40.0,-43.0,-34.0,-7.0,-2.0,-14.0,-16.0,,,,,,,,,-34.0,-24.0,-33.0,-34.0,14.0,7.0,9.0,13.0,9.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,AL,34.90408733,-87.65420478,34.866178999999995,-87.60875899999998,South,East South Central,3.0,92387.0,44311.0,48227.0,0.4788411247271391,18111.0,138.9,92709.0,40.4,22596.0,17117.0,11.0,11.9,219.7,49.9,16.6560043,75.94,1250.0,195.0,0.0,1.0,48.0,0.3567152944549984,2540.0,2618.0,2750.0,2716.0,2867.0,2851.0,3337.0,3362.0,3566.0,3522.0,2669.0,2659.0,2401.0,2495.0,5562.0,5850.0,6298.0,6982.0,3055.0,3240.0,2744.0,3072.0,3926.0,4594.0,2117.0,3043.0,547.0,1326.0,,,,,17.0,24.0,75.0,158.0,201.0,306.0,322.0,,0.4468,7.27,35220.0,21821.0,8.0,-7.0,-14.0,-11,-8,1.0,-11
1081,Alabama,Lee County,19.0,19.3,48937,9.5,24.1,32.3,34.1,163941,2300.0,1865.0,1114.0,347.0,1206.0,4,32.60154883,-85.35132246,-52.0,-41.0,-41.0,-34.0,-23.0,-18.0,-17.0,4.0,,,,,,,,,-36.0,-44.0,-47.0,-46.0,11.0,17.0,21.0,18.0,59.0,71.0,75.0,81.0,2.0,2.0,2.0,2.0,3.0,12.0,4.0,6.0,AL,32.60991751,-85.35526336,32.588091999999996,-85.345833,South,East South Central,3.0,163941.0,79636.0,81968.0,0.4927848320586124,18611.0,230.9,140247.0,29.5,24613.0,17381.0,45.0,9.5,180.2,45.9,17.560140407000002,74.45,2833.0,249.0,0.0,1.0,28.0,0.6132824912615189,4456.0,4231.0,4394.0,4061.0,4495.0,4493.0,6581.0,6604.0,10868.0,10227.0,5430.0,5245.0,4229.0,4443.0,8372.0,8889.0,8389.0,8757.0,3348.0,3776.0,3015.0,3228.0,3514.0,4013.0,1665.0,2227.0,370.0,927.0,14.0,,,14.0,27.0,38.0,81.0,148.0,226.0,241.0,250.0,,0.6602,10.45,29490.0,31342.0,4.0,-11.0,-18.0,-15,-12,-3.0,-15
