countyFIPS	deaths-0	cases-0	days_since_first_death	deaths-1	cases-1	deaths-2	cases-2	deaths-3	cases-3	deaths-4	cases-4	deaths-5	cases-5
01001	1	19	5	1	19	1	19	1	17	1	17	1	12
01001	1	23	6	1	19	1	19	1	19	1	17	1	17
01001	1	25	7	1	23	1	19	1	19	1	19	1	17
01001	1	25	8	1	25	1	23	1	19	1	19	1	19
01001	1	25	9	1	25	1	25	1	23	1	19	1	19
01001	1	25	10	1	25	1	25	1	25	1	23	1	19
01001	1	27	11	1	25	1	25	1	25	1	25	1	23
01001	1	28	12	1	27	1	25	1	25	1	25	1	25
01001	1	30	13	1	28	1	27	1	25	1	25	1	25
01001	1	32	14	1	30	1	28	1	27	1	25	1	25
01001	2	33	15	1	32	1	30	1	28	1	27	1	25
01001	2	36	16	2	33	1	32	1	30	1	28	1	27
01001	2	37	17	2	36	2	33	1	32	1	30	1	28
01001	2	37	18	2	37	2	36	2	33	1	32	1	30
01001	3	39	19	2	37	2	37	2	36	2	33	1	32
01001	3	40	20	3	39	2	37	2	37	2	36	2	33
01001	3	42	21	3	40	3	39	2	37	2	37	2	36
01001	3	42	22	3	42	3	40	3	39	2	37	2	37
01001	3	42	23	3	42	3	42	3	40	3	39	2	37
01001	3	45	24	3	42	3	42	3	42	3	40	3	39
01001	3	48	25	3	45	3	42	3	42	3	42	3	40
01001	3	53	26	3	48	3	45	3	42	3	42	3	42
01001	3	53	27	3	53	3	48	3	45	3	42	3	42
01001	3	58	28	3	53	3	53	3	48	3	45	3	42
01003	2	143	5	2	132	2	123	1	117	1	114	1	109
01003	2	147	6	2	143	2	132	2	123	1	117	1	114
01003	2	154	7	2	147	2	143	2	132	2	123	1	117
01003	2	161	8	2	154	2	147	2	143	2	132	2	123
01003	2	168	9	2	161	2	154	2	147	2	143	2	132
01003	2	171	10	2	168	2	161	2	154	2	147	2	143
01003	2	173	11	2	171	2	168	2	161	2	154	2	147
01003	3	174	12	2	173	2	171	2	168	2	161	2	154
01003	4	175	13	3	174	2	173	2	171	2	168	2	161
01003	4	181	14	4	175	3	174	2	173	2	171	2	168
01003	4	187	15	4	181	4	175	3	174	2	173	2	171
01003	4	188	16	4	187	4	181	4	175	3	174	2	173
01003	5	189	17	4	188	4	187	4	181	4	175	3	174
01003	5	196	18	5	189	4	188	4	187	4	181	4	175
01005	1	45	5	1	45	1	43	1	42	1	39	1	37
01005	1	47	6	1	45	1	45	1	43	1	42	1	39
01005	1	47	7	1	47	1	45	1	45	1	43	1	42
01013	1	65	5	1	53	1	51	1	45	1	34	1	32
01013	1	92	6	1	65	1	53	1	51	1	45	1	34
01013	1	105	7	1	92	1	65	1	53	1	51	1	45
01013	1	114	8	1	105	1	92	1	65	1	53	1	51
01013	2	120	9	1	114	1	105	1	92	1	65	1	53
01013	2	130	10	2	120	1	114	1	105	1	92	1	65
01015	3	85	5	3	83	2	80	2	72	2	66	1	63
01015	3	88	6	3	85	3	83	2	80	2	72	2	66
01015	3	89	7	3	88	3	85	3	83	2	80	2	72
01015	3	90	8	3	89	3	88	3	85	3	83	2	80
01015	3	90	9	3	90	3	89	3	88	3	85	3	83
01015	3	90	10	3	90	3	90	3	89	3	88	3	85
01015	3	92	11	3	90	3	90	3	90	3	89	3	88
01015	3	93	12	3	92	3	90	3	90	3	90	3	89
01015	3	93	13	3	93	3	92	3	90	3	90	3	90
01015	3	93	14	3	93	3	93	3	92	3	90	3	90
01015	3	98	15	3	93	3	93	3	93	3	92	3	90
01015	3	105	16	3	98	3	93	3	93	3	93	3	92
01015	3	105	17	3	105	3	98	3	93	3	93	3	93
01015	3	114	18	3	105	3	105	3	98	3	93	3	93
01015	3	114	19	3	114	3	105	3	105	3	98	3	93
01017	4	81	5	4	67	4	45	3	36	1	36	1	27
01017	5	87	6	4	81	4	67	4	45	3	36	1	36
01017	5	90	7	5	87	4	81	4	67	4	45	3	36
01017	5	96	8	5	90	5	87	4	81	4	67	4	45
01017	7	102	9	5	96	5	90	5	87	4	81	4	67
01017	8	140	10	7	102	5	96	5	90	5	87	4	81
01017	8	161	11	8	140	7	102	5	96	5	90	5	87
01017	8	171	12	8	161	8	140	7	102	5	96	5	90
01017	8	184	13	8	171	8	161	8	140	7	102	5	96
01017	8	200	14	8	184	8	171	8	161	8	140	7	102
01017	8	212	15	8	200	8	184	8	171	8	161	8	140
01017	8	216	16	8	212	8	200	8	184	8	171	8	161
