	horizon_1	horizon_2	horizon_3	horizon_4	horizon_5	horizon_6	horizon_7	horizon_8	horizon_9	horizon_10	increase
17031	2406.500935030267	2478.2916006050446	2565.9685151672265	2648.018570435776	2726.3095340862787	2782.3216042195204	2833.378111050776	2896.143505446958	2962.2603087502275	3064.594482039336	658.093547009069
36047	6066.907427615994	6110.6804471193345	6183.53235603352	6257.041575887896	6314.25104325804	6368.689087223457	6434.799916487465	6492.563633941838	6558.680799239712	6634.3923832665905	567.4849556505969
36081	5858.038354659532	5897.243276769987	5961.23361045119	6032.326099522219	6087.938610592295	6138.249569233294	6208.617691946346	6261.119262421515	6315.327808684398	6378.268178353974	520.2298236944416
06037	1601.8571171061928	1635.641460793206	1697.9769886852673	1756.4071287285356	1810.1835836082232	1842.7859455197008	1882.6972428159418	1925.2393678068818	1962.0997773049482	2007.6807924567122	405.82367535051935
25017	1266.0031255405197	1293.116903537318	1327.7390101116137	1360.7796574626589	1393.5941883102132	1428.351376242414	1452.2209031599918	1472.1369840749044	1487.1078056728147	1508.5315309420046	242.52840540148486
26163	2119.8635132628096	2134.589446331372	2162.0420418704193	2195.035512681038	2230.896831368508	2257.974896062066	2282.1458259038013	2301.48032053447	2323.3890996792816	2347.1957976482468	227.3322843854371
27053	411.90157050938035	430.52894395088094	451.8211422696038	474.1203668915831	498.05352343848216	519.4386275300682	538.2535864203986	559.4337440894046	588.4287535715445	616.5669306710008	204.66536016162047
09003	940.9921711252626	958.6811128029696	985.6270790847285	1008.2877830712157	1025.2807413714875	1041.9544546300333	1057.6275832717165	1080.4483116528613	1103.4223545458842	1125.5594569768014	184.5672858515387
36059	1987.3272726748187	2000.7264600237756	2020.559566127193	2042.2327268019217	2059.1684644324355	2076.787081562514	2096.213872048581	2114.887479008675	2134.5695658856475	2155.747446551367	168.42017387654823
09001	1047.2015996068142	1058.5111692860633	1076.881197526539	1105.2444851912587	1118.680760101085	1142.9544626598215	1158.2901296072637	1171.475873820789	1183.58404978907	1201.5158464994968	154.3142468926826
36103	1652.3786614508454	1664.8082905800916	1682.0558477923828	1700.7649195512631	1720.1379267229006	1737.1203819236348	1754.5244121199225	1770.0466825345163	1787.6015869601179	1806.3073535862843	153.92869213543895
25009	688.8074288702301	705.5965465626488	724.3261745540551	741.7688660783406	762.9759693869407	782.4450931952626	798.7711852741679	812.6685657610825	825.4683753490137	839.97997761172	151.1725487414899
42045	407.0792173451558	418.51737196747416	445.0651650686778	464.92566185420026	478.7722318067013	490.5892053877617	497.02145556396033	507.9183547165016	520.87103684087	542.0786330622082	134.99941571705233
09009	732.7629727159281	746.033977092676	763.4873361812572	781.8600385639526	798.6828046277427	811.8793536488846	822.3452782180268	834.9892981454677	847.4507882110098	864.1739015232399	131.41092880731185
25025	745.4068454390498	755.6053809047738	774.4652070330577	791.1608946601999	807.1932085621169	822.5506675562751	846.0490512825946	855.2075640213121	862.9231783016955	873.4474723944695	128.04062695541973
34013	1435.215748825035	1445.439663040454	1463.327974943516	1480.2252805458995	1494.1527826137392	1507.959325378033	1520.6942703736343	1531.740579492528	1545.8364633371361	1559.7864554923312	124.57070666729624
34003	1367.6249583019883	1377.4508673907321	1391.290821542063	1406.6687919689687	1420.5755819109577	1434.177015169557	1448.4610371835008	1460.4080286103485	1475.614215281308	1489.7804658670452	122.15550756505695
04013	256.7744044116541	272.09619836173783	290.7357526779676	305.4555372391922	321.0797734565837	330.8898288343454	339.3007516280462	348.3094894623028	359.0283197783713	378.02827325103107	121.25386883937699
25027	471.28610551451027	483.32115384060074	497.01102425968077	509.5560733893013	525.1882639539099	540.2786230346679	553.8893791693107	566.5692951855555	575.1314342354175	587.8463711193012	116.56026560479097
42091	532.9660369747176	540.3322755627299	560.1769321887247	579.0074252807601	589.2242034691776	600.0964998666867	607.0616450051639	615.4269714854958	627.3856558077484	646.1678628471061	113.20182587238855
36119	1237.535042944472	1247.22544665158	1257.6340966573532	1272.2382618292581	1283.2980072444313	1297.4697017821536	1311.2605006177685	1324.089381849485	1337.8971797811878	1347.5913060566127	110.05626311214064
51059	247.90333813590672	259.6976997807561	273.00439024620283	284.95722492575663	302.3317967267843	311.6368358871801	317.0369421525576	323.27028943593103	332.0931671615709	346.63784474200645	98.73450660609973
25021	671.2445445127892	679.6244685515018	692.9312540854102	708.3466311640335	722.7831232950923	736.2416033242727	745.2281770324745	753.6574452454739	759.1791297781939	768.0230691982061	96.77852468541698
34017	978.2550908091787	985.3671084732865	996.9344684555421	1009.3875850258197	1020.5010488161143	1028.763156828945	1039.114247903654	1049.7029034125949	1061.2161051903752	1073.4939852998646	95.23889449068588
42017	356.1161323770246	365.370025351461	382.0968918753358	394.5033612393774	404.9908754018136	412.94583304912084	418.53552423745714	426.9410008098336	437.0835009477243	450.77306508427677	94.65693270725217
12086	499.41394471946063	504.1607271684457	521.4496797034988	537.6697869748064	549.7887301451996	559.9436630608004	566.2675692137719	572.0628089753907	577.6738985673671	591.5839413285612	92.16999660910056
26125	858.9072229168853	865.7758770771223	876.7767240113259	890.0332990853422	902.6215164727207	915.345768253061	922.2696269282936	932.0267087196016	939.9472626618375	947.5974597235321	88.6902368066468
36029	381.59017414782835	389.4360916926746	400.8556646482025	410.522923124559	419.5828418541046	429.2023166368351	439.5670957244171	448.74130851793376	458.4916198770124	469.4489646287163	87.85879048088793
32003	265.3662048535816	271.4946500306022	286.49673660679497	297.7424423534527	305.78705043259157	312.16890155635804	318.87874829934293	324.74123349664404	342.1613848707642	350.7292855651692	85.3630807115876
25005	281.8948252062824	289.4504394048436	298.903989862891	311.1585381860341	322.1244516969959	331.9296893394726	342.28902092984623	351.14997589381875	358.698988413102	366.21512034946494	84.32029514318253
34023	801.273913435935	809.6722991352798	827.2573304858963	838.2439299603856	846.0255639324381	854.8474487366957	861.3062547721302	867.9043720172482	875.7519123353742	885.2677871968057	83.99387376087066
18097	431.4032991122272	441.18564305455914	451.5046844580472	461.37065683563355	471.05192990203693	478.08153816957866	486.8508125979953	496.20308687347534	505.2036167167684	514.4232065271551	83.0199074149279
34039	882.4479269100106	888.9732041840656	903.4213590120564	913.177117303931	920.5417473331343	929.8811247683735	938.8111218934547	946.3409349637387	954.583341484076	963.7687106338659	81.32078372385536
34007	233.46335354707952	240.43971411538865	252.80876554947903	262.856132949847	273.6408263509494	282.0125485152479	287.26072779938164	295.77594087577074	303.71150506363483	313.7495396791294	80.28618613204986
34031	753.1501428141454	758.952505020852	768.1708194483917	778.6816731618159	787.1233958222545	795.2273134855615	803.7406006476342	810.9715824244388	819.3005127585842	827.9641502342001	74.81400742005474
26099	706.9979656424159	714.3042965629718	722.9241682159428	735.2001189107241	745.4391385762683	753.7887434441584	759.4821099349361	766.8072477027692	773.3691547434465	779.9935532064176	72.99558756400165
