countyFIPS,PopulationEstimate2018,Rural-UrbanContinuumCode2013,increase,increase_scaled
1001,55601,2,0.5194820289355211,9.34303391909356
1003,218022,3,0.35563139834335544,1.6311720759526813
1013,19680,6,1.65310460741205,83.99921785630335
1015,114277,3,0.24937626119330192,2.1822086788531543
1017,33615,6,5.5086216890326405,163.87391608010236
1021,44153,1,0.2311444133449163,5.235078326385892
1025,23920,7,0.4142135623730949,17.316620500547447
1027,13275,9,0.2311444133449163,17.41200853822345
1029,14987,8,0.0,0.0
1033,54762,3,0.2586938709137119,4.723966818482011
1037,10715,8,0.3195079107728942,29.81875042210865
1039,36986,6,0.3195079107728942,8.638617605929113
1047,38310,4,0.17767152314643475,4.637732266939043
1049,71385,6,0.2322463480678092,3.253433467364421
1051,81887,2,0.4914618792310348,6.0017081982614435
1053,36748,6,0.2586938709137119,7.039672115862411
1055,102501,3,1.8711954009131695,18.25538678562326
1065,14726,3,1.0875580268942806,73.85291504103495
1067,17209,3,0.1486983549970351,8.640731884306764
1069,104722,3,1.6370839297871314,15.63266486303863
1071,51736,6,0.42080815083869183,8.133758907505253
1073,659300,1,8.28767274978049,12.570412179251464
1081,163941,3,3.8415020473106374,23.432222856458342
1085,9974,2,0.4142135623730949,41.52933250181421
1087,18439,6,1.3322676295501878e-15,7.225270511145876e-14
1089,366519,2,0.4539170160266046,1.238454257559921
1091,19066,7,0.08755802689428016,4.592364779937069
1093,29763,7,0.4739609105187883,15.924500571810245
1095,96109,4,2.1461010385465364,22.32986545012992
1097,413757,2,21.98032461248247,53.12375286093642
1099,21067,7,0.2311444133449163,10.97187133169964
1101,225763,2,1.4715390571550202,6.518070087459062
1107,19938,3,0.32461613047884885,16.281278487252926
1111,22725,6,0.27693839996475145,12.186508249273992
1117,215707,1,5.349152176431733,24.798231751550638
1119,12691,8,1.5358663105321066,121.02011744796364
1121,79828,4,0.1689435423953971,2.1163444204464237
1123,40497,6,3.4893063147052352,86.16209385152568
1129,16378,8,0.352158045049348,21.50189553360288
