FIPS code,CBSA 2012 pop,County 2012 pop,2013 code
1001,377149,55514,3
1003,190790,190790,4
1005,.,27201,6
1007,1136650,22597,2
1009,1136650,57826,2
1011,.,10474,6
1013,.,20307,6
1015,117296,117296,4
1017,34064,34064,5
1019,.,26021,6
1021,1136650,43819,2
1023,.,13633,6
1025,.,25161,6
1027,.,13435,6
1029,.,14832,6
1031,51252,51252,5
1033,146988,54446,4
1035,.,12981,6
1037,92728,10966,5
1039,.,37955,6
1041,.,14083,6
1043,80440,80440,5
1045,50444,50444,5
1047,42864,42864,5
1049,.,71080,6
1051,377149,80629,3
1053,.,37994,6
1055,104392,104392,4
1057,.,16983,6
1059,.,31761,6
1061,147620,26931,4
1063,.,8876,6
1065,233389,15388,4
1067,147620,17287,4
1069,147620,103402,4
1071,53019,53019,5
1073,1136650,660009,1
1075,.,14259,6
1077,146988,92542,4
1079,154233,33838,4
1081,147257,147257,4
1083,430734,87654,3
1085,377149,10857,3
1087,.,20535,6
1089,430734,343080,3
1091,.,20401,6
1093,.,30327,6
1095,94776,94776,5
1097,413936,413936,3
1099,.,22602,6
1101,377149,230149,3
1103,154233,120395,4
1105,.,10181,6
1107,233389,19405,4
1109,33182,33182,5
1111,.,22675,6
1113,310531,57820,3
1115,1136650,85237,2
1117,1136650,200941,2
1119,.,13427,6
1121,92728,81762,5
1123,.,41168,6
1125,233389,198596,4
1127,1136650,66221,2
1129,.,17109,6
1131,.,11431,6
1133,.,24108,6
2013,.,3161,6
2016,.,5547,6
2020,392535,298610,3
2050,.,17746,6
2060,.,991,6
2068,.,1875,6
2070,.,5034,6
2090,100272,100272,4
2100,.,2552,6
2105,.,2129,6
2110,32556,32556,5
2122,.,56900,6
2130,13779,13779,5
2150,.,14239,6
2158,.,7809,6
2164,.,1654,6
2170,392535,93925,3
2180,.,9915,6
2185,.,9643,6
2188,.,7810,6
2195,.,3844,6
2198,.,5751,6
2201,.,.,6
2220,.,9046,6
2230,.,959,6
2232,.,.,6
2240,.,7144,6
2261,.,9717,6
2270,.,7809,6
2275,.,2403,6
2280,.,.,6
2282,.,668,6
2290,.,5770,6
4001,.,73195,6
4003,132088,132088,4
4005,136011,136011,4
4007,53144,53144,5
4009,37416,37416,5
4011,.,8802,6
4012,.,20281,6
4013,4329534,3942169,1
4015,203334,203334,4
4017,107094,107094,5
4019,992394,992394,3
4021,4329534,387365,2
4023,47303,47303,5
4025,212637,212637,4
4027,200022,200022,4
5001,.,18892,6
5003,.,21524,6
5005,41048,41048,5
5007,482200,232268,3
5009,45413,37327,5
5011,.,11397,6
5013,30703,5307,5
5015,.,27610,6
5017,.,11433,6
5019,22936,22936,5
5021,.,15684,6
5023,.,25808,6
5025,97451,8627,4
5027,24473,24473,5
5029,.,21287,6
5031,124042,99735,4
5033,280521,61946,3
5035,1341690,50021,2
5037,.,17683,6
5039,.,7987,6
5041,.,12545,6
5043,.,18743,6
5045,717666,118704,3
5047,.,18045,6
5049,.,12318,6
5051,96903,96903,4
5053,717666,17986,3
5055,43163,43163,5
5057,.,22373,6
5059,33394,33394,5
5061,.,13735,6
5063,37025,37025,5
5065,.,13474,6
5067,.,17600,6
5069,97451,74723,4
5071,.,25901,6
5073,.,7447,6
5075,.,17012,6
5077,.,10216,6
5079,97451,14101,4
5081,149701,12919,4
5083,.,21983,6
5085,717666,69839,3
5087,482200,15645,3
5089,.,16568,6
5091,149701,43634,4
5093,45562,45562,5
5095,.,7828,6
5097,.,9340,6
5099,.,8925,6
5101,45413,8086,5
5103,30703,25396,5
5105,717666,10339,3
5107,20784,20784,5
5109,.,11247,6
5111,124042,24307,4
5113,.,20471,6
5115,84697,62765,5
5117,.,8458,6
5119,717666,388953,3
5121,.,17930,6
5123,27858,27858,5
5125,717666,111845,3
5127,.,11010,6
5129,.,8007,6
5131,280521,127304,3
5133,.,17177,6
5135,.,17054,6
5137,.,12663,6
5139,40867,40867,5
5141,.,17030,6
5143,482200,211411,3
5145,78493,78493,5
5147,.,7100,6
5149,84697,21932,5
6001,4455560,1554720,1
6003,.,1129,6
6005,.,37035,6
6007,221539,221539,4
6009,.,44742,6
6011,.,21411,6
6013,4455560,1079597,2
6015,28290,28290,5
6017,2196482,180561,2
6019,947895,947895,3
6021,.,27992,6
6023,134827,134827,5
6025,176948,176948,4
6027,.,18495,6
6029,856158,856158,3
6031,151364,151364,4
6033,63983,63983,5
6035,33658,33658,5
6037,13052921,9962789,1
6039,152218,152218,4
6041,4455560,256069,2
6043,.,17905,6
6045,87428,87428,5
6047,262305,262305,3
6049,.,9327,6
6051,.,14348,6
6053,426762,426762,3
6055,139045,139045,4
6057,98292,98292,5
6059,13052921,3090132,1
6061,2196482,361682,2
6063,.,19399,6
6065,4350096,2268783,1
6067,2196482,1450121,1
6069,1894388,56884,2
6071,4350096,2081313,2
6073,3177063,3177063,1
6075,4455560,825863,1
6077,702612,702612,3
6079,", CA        274804",274804,3
6081,4455560,739311,2
6083,431249,431249,3
6085,1894388,1837504,1
6087,266776,266776,3
6089,178586,178586,4
6091,.,3086,6
6093,.,44154,6
6095,420757,420757,3
6097,491829,491829,3
6099,521726,521726,3
6101,167948,95022,4
6103,63406,63406,5
6105,.,13526,6
6107,451977,451977,3
6109,54008,54008,5
6111,835981,835981,3
6113,2196482,204118,2
6115,167948,72926,4
8001,2645209,459598,2
8003,.,16148,6
8005,2645209,595546,2
8007,.,12070,6
8009,.,3751,6
8011,.,5773,6
8013,305318,305318,3
8014,2645209,58298,2
8015,.,18150,6
8017,.,1874,6
8019,2645209,9026,2
8021,.,8275,6
8023,.,3594,6
8025,.,5365,6
8027,.,4249,6
8029,.,30432,6
8031,2645209,634265,1
8033,.,1994,6
8035,2645209,298215,2
8037,51874,51874,5
8039,2645209,23383,2
8041,668353,644964,3
8043,46788,46788,5
8045,74216,56953,5
8047,2645209,5491,2
8049,.,14195,6
8051,.,15475,6
8053,.,810,6
8055,.,6596,6
8057,.,1348,6
8059,2645209,545358,2
8061,.,1444,6
8063,.,8094,6
8065,.,7338,6
8067,52401,52401,5
8069,310487,310487,3
8071,.,14945,6
8073,.,5453,6
8075,22631,22631,5
8077,147848,147848,4
8079,.,709,6
8081,13200,13200,5
8083,.,25431,6
8085,40725,40725,5
8087,28472,28472,5
8089,.,18698,6
8091,.,4530,6
8093,2645209,16029,2
8095,.,4367,6
8097,74216,17263,5
8099,.,12389,6
