State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Area Name (including legal/statistical area description)
01,001,01001,Alabama,Autauga County
01,003,01003,Alabama,Baldwin County
01,005,01005,Alabama,Barbour County
01,007,01007,Alabama,Bibb County
01,009,01009,Alabama,Blount County
01,011,01011,Alabama,Bullock County
01,013,01013,Alabama,Butler County
01,015,01015,Alabama,Calhoun County
01,017,01017,Alabama,Chambers County
01,019,01019,Alabama,Cherokee County
01,021,01021,Alabama,Chilton County
01,023,01023,Alabama,Choctaw County
01,025,01025,Alabama,Clarke County
01,027,01027,Alabama,Clay County
01,029,01029,Alabama,Cleburne County
01,031,01031,Alabama,Coffee County
01,033,01033,Alabama,Colbert County
01,035,01035,Alabama,Conecuh County
01,037,01037,Alabama,Coosa County
01,039,01039,Alabama,Covington County
01,041,01041,Alabama,Crenshaw County
01,043,01043,Alabama,Cullman County
01,045,01045,Alabama,Dale County
01,047,01047,Alabama,Dallas County
01,049,01049,Alabama,DeKalb County
01,051,01051,Alabama,Elmore County
01,053,01053,Alabama,Escambia County
01,055,01055,Alabama,Etowah County
01,057,01057,Alabama,Fayette County
01,059,01059,Alabama,Franklin County
01,061,01061,Alabama,Geneva County
01,063,01063,Alabama,Greene County
01,065,01065,Alabama,Hale County
01,067,01067,Alabama,Henry County
01,069,01069,Alabama,Houston County
01,071,01071,Alabama,Jackson County
01,073,01073,Alabama,Jefferson County
01,075,01075,Alabama,Lamar County
01,077,01077,Alabama,Lauderdale County
01,079,01079,Alabama,Lawrence County
01,081,01081,Alabama,Lee County
01,083,01083,Alabama,Limestone County
01,085,01085,Alabama,Lowndes County
01,087,01087,Alabama,Macon County
01,089,01089,Alabama,Madison County
01,091,01091,Alabama,Marengo County
01,093,01093,Alabama,Marion County
01,095,01095,Alabama,Marshall County
01,097,01097,Alabama,Mobile County
01,099,01099,Alabama,Monroe County
01,101,01101,Alabama,Montgomery County
01,103,01103,Alabama,Morgan County
01,105,01105,Alabama,Perry County
01,107,01107,Alabama,Pickens County
01,109,01109,Alabama,Pike County
01,111,01111,Alabama,Randolph County
01,113,01113,Alabama,Russell County
01,115,01115,Alabama,St. Clair County
01,117,01117,Alabama,Shelby County
01,119,01119,Alabama,Sumter County
01,121,01121,Alabama,Talladega County
01,123,01123,Alabama,Tallapoosa County
01,125,01125,Alabama,Tuscaloosa County
01,127,01127,Alabama,Walker County
01,129,01129,Alabama,Washington County
01,131,01131,Alabama,Wilcox County
01,133,01133,Alabama,Winston County
02,013,02013,Alaska,Aleutians East Borough
02,016,02016,Alaska,Aleutians West Census Area
02,020,02020,Alaska,Anchorage Municipality
02,050,02050,Alaska,Bethel Census Area
02,060,02060,Alaska,Bristol Bay Borough
02,068,02068,Alaska,Denali Borough
02,070,02070,Alaska,Dillingham Census Area
02,090,02090,Alaska,Fairbanks North Star Borough
02,100,02100,Alaska,Haines Borough
02,105,02105,Alaska,Hoonah-Angoon Census Area
02,110,02110,Alaska,Juneau City and Borough
02,122,02122,Alaska,Kenai Peninsula Borough
02,130,02130,Alaska,Ketchikan Gateway Borough
02,150,02150,Alaska,Kodiak Island Borough
02,158,02158,Alaska,Kusilvak Census Area
02,164,02164,Alaska,Lake and Peninsula Borough
02,170,02170,Alaska,Matanuska-Susitna Borough
02,180,02180,Alaska,Nome Census Area
02,185,02185,Alaska,North Slope Borough
02,188,02188,Alaska,Northwest Arctic Borough
02,195,02195,Alaska,Petersburg Borough
02,198,02198,Alaska,Prince of Wales-Hyder Census Area
02,220,02220,Alaska,Sitka City and Borough
02,230,02230,Alaska,Skagway Municipality
02,240,02240,Alaska,Southeast Fairbanks Census Area
02,261,02261,Alaska,Valdez-Cordova Census Area
02,275,02275,Alaska,Wrangell City and Borough
02,282,02282,Alaska,Yakutat City and Borough
02,290,02290,Alaska,Yukon-Koyukuk Census Area
04,001,04001,Arizona,Apache County
04,003,04003,Arizona,Cochise County
04,005,04005,Arizona,Coconino County
04,007,04007,Arizona,Gila County
04,009,04009,Arizona,Graham County
04,011,04011,Arizona,Greenlee County
04,012,04012,Arizona,La Paz County
04,013,04013,Arizona,Maricopa County
04,015,04015,Arizona,Mohave County
04,017,04017,Arizona,Navajo County
04,019,04019,Arizona,Pima County
04,021,04021,Arizona,Pinal County
04,023,04023,Arizona,Santa Cruz County
04,025,04025,Arizona,Yavapai County
04,027,04027,Arizona,Yuma County
05,001,05001,Arkansas,Arkansas County
05,003,05003,Arkansas,Ashley County
05,005,05005,Arkansas,Baxter County
05,007,05007,Arkansas,Benton County
05,009,05009,Arkansas,Boone County
05,011,05011,Arkansas,Bradley County
05,013,05013,Arkansas,Calhoun County
05,015,05015,Arkansas,Carroll County
05,017,05017,Arkansas,Chicot County
05,019,05019,Arkansas,Clark County
05,021,05021,Arkansas,Clay County
05,023,05023,Arkansas,Cleburne County
05,025,05025,Arkansas,Cleveland County
05,027,05027,Arkansas,Columbia County
05,029,05029,Arkansas,Conway County
05,031,05031,Arkansas,Craighead County
05,033,05033,Arkansas,Crawford County
05,035,05035,Arkansas,Crittenden County
05,037,05037,Arkansas,Cross County
05,039,05039,Arkansas,Dallas County
05,041,05041,Arkansas,Desha County
05,043,05043,Arkansas,Drew County
05,045,05045,Arkansas,Faulkner County
05,047,05047,Arkansas,Franklin County
05,049,05049,Arkansas,Fulton County
05,051,05051,Arkansas,Garland County
05,053,05053,Arkansas,Grant County
05,055,05055,Arkansas,Greene County
05,057,05057,Arkansas,Hempstead County
05,059,05059,Arkansas,Hot Spring County
05,061,05061,Arkansas,Howard County
05,063,05063,Arkansas,Independence County
05,065,05065,Arkansas,Izard County
05,067,05067,Arkansas,Jackson County
05,069,05069,Arkansas,Jefferson County
05,071,05071,Arkansas,Johnson County
05,073,05073,Arkansas,Lafayette County
05,075,05075,Arkansas,Lawrence County
05,077,05077,Arkansas,Lee County
05,079,05079,Arkansas,Lincoln County
05,081,05081,Arkansas,Little River County
05,083,05083,Arkansas,Logan County
05,085,05085,Arkansas,Lonoke County
05,087,05087,Arkansas,Madison County
05,089,05089,Arkansas,Marion County
05,091,05091,Arkansas,Miller County
05,093,05093,Arkansas,Mississippi County
05,095,05095,Arkansas,Monroe County
05,097,05097,Arkansas,Montgomery County
05,099,05099,Arkansas,Nevada County
05,101,05101,Arkansas,Newton County
05,103,05103,Arkansas,Ouachita County
05,105,05105,Arkansas,Perry County
05,107,05107,Arkansas,Phillips County
05,109,05109,Arkansas,Pike County
05,111,05111,Arkansas,Poinsett County
05,113,05113,Arkansas,Polk County
05,115,05115,Arkansas,Pope County
05,117,05117,Arkansas,Prairie County
05,119,05119,Arkansas,Pulaski County
05,121,05121,Arkansas,Randolph County
05,123,05123,Arkansas,St. Francis County
05,125,05125,Arkansas,Saline County
05,127,05127,Arkansas,Scott County
05,129,05129,Arkansas,Searcy County
05,131,05131,Arkansas,Sebastian County
05,133,05133,Arkansas,Sevier County
05,135,05135,Arkansas,Sharp County
05,137,05137,Arkansas,Stone County
05,139,05139,Arkansas,Union County
05,141,05141,Arkansas,Van Buren County
05,143,05143,Arkansas,Washington County
05,145,05145,Arkansas,White County
05,147,05147,Arkansas,Woodruff County
05,149,05149,Arkansas,Yell County
