FIPS,Rural-urban_Continuum Code_2003,Rural-urban_Continuum Code_2013,Urban_Influence_Code_2003,Urban_Influence_Code_2013,Economic_typology_2015,POP_ESTIMATE_2018,N_POP_CHG_2018,Births_2018,Deaths_2018,NATURAL_INC_2018,INTERNATIONAL_MIG_2018,DOMESTIC_MIG_2018,NET_MIG_2018,RESIDUAL_2018,GQ_ESTIMATES_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018
01001,2,2,2,2,0,55601,158,655,532,123,-2,37,35,0,455,9.5817874,2.215338064,-0.036021757,0.666402507,0.63038075
01003,4,3,5,2,5,218022,5403,2254,2228,26,118,5232,5350,27,2190,10.3473659,0.120750231,0.548020277,24.29866176,24.84668204
01005,6,6,6,6,3,24881,-277,261,324,-63,12,-227,-215,1,2820,12.94989908,-2.518035932,0.479625892,-9.07292312,-8.593297228
01007,1,1,1,1,0,22400,-155,250,256,-6,10,-158,-148,-1,2151,11.38916695,-0.2669336,0.444889334,-7.029251474,-6.58436214
01009,1,1,1,1,0,57840,13,681,662,19,8,-10,-2,-4,489,11.44665289,0.328529313,0.138328132,-0.172910165,-0.034582033
01011,6,6,6,6,3,10138,-38,115,120,-5,-2,-30,-32,-1,1661,11.81451216,-0.49227134,-0.196908536,-2.95362804,-3.150536576
01013,6,6,6,6,0,19680,-218,221,239,-18,17,-217,-200,0,333,12.07741675,-0.90959624,0.859063116,-10.96568801,-10.10662489
01015,3,3,2,2,4,114277,-387,1293,1494,-201,71,-253,-182,-4,2739,13.05139752,-1.755910912,0.620247138,-2.210176421,-1.589929283
01017,6,6,5,5,0,33615,-143,357,461,-104,20,-58,-38,-1,458,13.68500735,-3.087290161,0.593709646,-1.721757974,-1.128048328
01019,8,6,6,6,0,26032,217,219,340,-121,-1,338,337,1,290,13.11551295,-4.667579609,-0.038575038,13.03836288,12.99978784
01021,1,1,1,1,0,44153,36,526,506,20,25,-6,19,-3,393,11.46482384,0.453155092,0.566443865,-0.135946528,0.430497338
01023,9,9,10,10,3,12841,-94,134,176,-42,-2,-50,-52,0,129,13.65611422,-3.258845438,-0.155183116,-3.879577902,-4.034761018
01025,7,7,11,11,3,23920,-177,267,307,-40,-2,-133,-135,-2,280,12.78713789,-1.666076598,-0.08330383,-5.539704688,-5.623008518
01027,9,9,10,10,3,13275,-92,128,177,-49,-1,-42,-43,0,255,13.28729074,-3.678402522,-0.075069439,-3.152916448,-3.227985887
01029,8,8,4,4,0,14987,81,167,198,-31,-8,122,114,-2,178,13.24724852,-2.074064162,-0.535242364,8.162446058,7.627203693
01031,6,4,5,5,0,51909,132,652,541,111,18,5,23,-2,518,10.43535289,2.141079799,0.34720213,0.096445036,0.443647166
01033,3,3,2,2,0,54762,253,610,685,-75,4,324,328,0,474,12.53763579,-1.372733845,0.073212472,5.930210211,6.003422683
01035,9,7,11,11,0,12277,-158,126,183,-57,1,-102,-101,0,45,14.81061832,-4.613143412,0.080932341,-8.255098737,-8.174166397
01037,8,8,7,3,3,10715,-42,90,122,-32,14,-23,-9,-1,248,11.36363636,-2.980625931,1.304023845,-2.142324888,-0.838301043
01039,7,6,9,6,0,36986,-92,426,537,-111,-2,23,21,-2,575,14.50097213,-2.997407647,-0.054007345,0.621084468,0.567077123
01041,8,8,6,6,3,13824,-37,141,181,-40,-2,5,3,0,132,13.07567275,-2.889651436,-0.144482572,0.36120643,0.216723858
01043,6,4,3,3,0,83442,606,977,1039,-62,29,643,672,-4,1049,12.49714334,-0.745739063,0.348813433,7.734035771,8.082849204
