	Tree	PFC
1	10	0.111455933
2	20	0.050269819
3	30	0.030810867
4	40	0.022806474
5	50	0.018185851
6	60	0.015397331
7	70	0.015350846
8	80	0.014615298
9	90	0.013399891
10	100	0.013164117
11	10	0.092473798
12	20	0.0520704
13	30	0.026963088
14	40	0.021677527
15	50	0.019058959
16	60	0.013847126
17	70	0.013811362
18	80	0.015911862
19	90	0.01196076
20	100	0.014194722
21	10	0.111284874
22	20	0.042101034
23	30	0.03074343
24	40	0.024183397
25	50	0.016008164
26	60	0.016806445
27	70	0.013067002
28	80	0.013169986
29	90	0.013375401
30	100	0.012859106
31	10	0.10863881
32	20	0.055773915
33	30	0.032685529
34	40	0.020008863
35	50	0.014921638
36	60	0.015520082
37	70	0.01371395
38	80	0.013541829
39	90	0.012689541
40	100	0.010652463
41	10	0.111455933
42	20	0.050269819
43	30	0.030810867
44	40	0.022806474
45	50	0.018185851
46	60	0.015397331
47	70	0.015350846
48	80	0.014615298
49	90	0.013399891
50	100	0.013164117
51	10	0.119077951
52	20	0.042932302
53	30	0.029741948
54	40	0.026093342
55	50	0.01753551
56	60	0.016556686
57	70	0.017715593
58	80	0.015427725
59	90	0.013728772
60	100	0.010005362
61	10	0.102865806
62	20	0.042346038
63	30	0.026051819
64	40	0.023932934
65	50	0.021402993
66	60	0.013610132
67	70	0.013602086
68	80	0.014620449
69	90	0.011861814
70	100	0.014748946
71	10	0.100889009
72	20	0.046328076
73	30	0.02905874
74	40	0.021275125
75	50	0.019497028
76	60	0.012291154
77	70	0.014180051
78	80	0.01394588
79	90	0.013441864
80	100	0.011480054
81	10	0.116673005
82	20	0.042589004
83	30	0.033391329
84	40	0.02211707
85	50	0.020049193
86	60	0.016606994
87	70	0.014728536
88	80	0.011179171
89	90	0.013055093
90	100	0.009888556
91	10	0.110699953
92	20	0.048853644
93	30	0.034444878
94	40	0.024251462
95	50	0.018670405
96	60	0.014513422
97	70	0.014526134
98	80	0.01304955
99	90	0.011745534
100	100	0.009982901
101	10	0.118125436
102	20	0.041345713
103	30	0.026371318
104	40	0.020124808
105	50	0.019166278
106	60	0.013416103
107	70	0.014931944
108	80	0.011460077
109	90	0.01171222
110	100	0.011635565
111	10	0.109590603
112	20	0.046720244
113	30	0.030987421
114	40	0.023366998
115	50	0.019887701
116	60	0.017811815
117	70	0.012842391
118	80	0.01286689
119	90	0.012030599
120	100	0.011753717
121	10	0.09308129
122	20	0.049365034
123	30	0.030772885
124	40	0.023002113
125	50	0.020168035
126	60	0.01840704
127	70	0.014998818
128	80	0.014394766
129	90	0.012092996
130	100	0.01152394
131	10	0.107720142
132	20	0.04486719
133	30	0.030959598
134	40	0.023529078
135	50	0.018822248
136	60	0.014713077
137	70	0.015864677
138	80	0.012957363
139	90	0.01318036
140	100	0.013003515
141	10	0.112595399
142	20	0.044136946
143	30	0.034985108
144	40	0.023474581
145	50	0.019120865
146	60	0.018799893
147	70	0.014496369
148	80	0.014295581
149	90	0.013302074
150	100	0.013500889
151	10	0.126496581
152	20	0.053135011
153	30	0.029677347
154	40	0.02360262
155	50	0.016841068
156	60	0.016499929
157	70	0.016053062
158	80	0.013064391
159	90	0.012288644
160	100	0.012521428
161	10	0.096797998
162	20	0.050625698
163	30	0.033499681
164	40	0.022763439
165	50	0.020045716
166	60	0.015194355
167	70	0.014680936
168	80	0.010963971
169	90	0.014589914
170	100	0.012181985
171	10	0.093064497
172	20	0.051957828
173	30	0.03170543
174	40	0.023879498
175	50	0.019606079
176	60	0.016341833
177	70	0.014371374
178	80	0.014292642
179	90	0.013045406
180	100	0.013170501
181	10	0.09091161
182	20	0.046854214
183	30	0.026225043
184	40	0.026964072
185	50	0.018332988
186	60	0.013966404
187	70	0.012151672
188	80	0.014501866
189	90	0.012407812
190	100	0.01244223
191	10	0.109495572
192	20	0.048256237
193	30	0.035541228
194	40	0.0255711
195	50	0.017469683
196	60	0.016689652
197	70	0.014516255
198	80	0.013857738
199	90	0.014155918
200	100	0.011820253
